azimuth_deg,altitude_deg,altitude_smooth_deg,edge_strength,x_pix,y_pix
192.00,-2.4500,-2.4238,42.24,856.943,41.982
192.50,-2.4000,-2.4291,42.62,862.633,43.627
193.00,-2.4500,-2.4347,40.51,868.448,44.787
193.50,-2.4500,-2.4402,40.81,874.182,46.264
194.00,-2.4500,-2.4456,40.45,879.903,47.790
194.50,-2.4500,-2.4511,41.12,885.610,49.366
195.00,-2.4500,-2.4573,40.48,891.303,50.992
195.50,-2.4500,-2.4651,40.12,896.982,52.666
196.00,-2.4500,-2.4751,39.52,902.645,54.390
196.50,-2.5000,-2.4877,40.49,908.380,55.901
197.00,-2.4500,-2.5029,40.07,913.927,57.983
197.50,-2.5000,-2.5195,39.28,919.635,59.593
198.00,-2.5500,-2.5360,38.83,925.330,61.253
198.50,-2.6000,-2.5500,39.57,931.013,62.963
199.00,-2.6000,-2.5592,38.85,936.585,64.981
199.50,-2.6000,-2.5620,40.57,942.140,67.046
200.00,-2.6000,-2.5573,39.89,947.677,69.160
200.50,-2.6000,-2.5454,39.52,953.195,71.321
201.00,-2.5500,-2.5272,39.15,958.588,73.784
201.50,-2.5000,-2.5047,40.77,963.957,76.293
202.00,-2.4500,-2.4803,38.15,969.303,78.847
202.50,-2.4500,-2.4572,36.15,974.736,81.195
203.00,-2.5500,-2.4391,36.61,980.377,83.089
203.50,-2.3000,-2.4293,35.62,985.190,86.782
204.00,-2.1500,-2.4300,37.09,990.198,90.015
204.50,-2.4000,-2.4410,55.44,996.138,91.303
205.00,-2.5500,-2.4596,49.23,1001.830,93.143
205.50,-2.5500,-2.4812,54.16,1007.137,95.771
206.00,-2.5000,-2.5008,52.38,1012.295,98.690
206.50,-2.5500,-2.5139,67.81,1017.683,101.166
207.00,-2.5500,-2.5175,75.43,1022.921,103.932
207.50,-2.6500,-2.5104,96.55,1028.399,106.261
208.00,-2.5500,-2.4937,69.95,1033.323,109.599
208.50,-2.5000,-2.4705,58.89,1038.349,112.738
209.00,-2.4500,-2.4453,54.21,1043.347,115.920
209.50,-2.3000,-2.4235,47.97,1048.033,119.618
210.00,-2.3000,-2.4088,46.08,1053.109,122.646
210.50,-2.3000,-2.4026,43.87,1058.160,125.717
211.00,-2.4000,-2.4037,42.80,1063.477,128.366
211.50,-2.4500,-2.4084,43.49,1068.626,131.294
212.00,-2.6000,-2.4123,36.85,1074.052,133.808
212.50,-2.3000,-2.4109,40.98,1078.089,138.437
213.00,-2.4000,-2.3994,40.70,1083.311,141.267
213.50,-2.5000,-2.3726,38.69,1088.511,144.145
214.00,-2.4500,-2.3252,35.32,1093.216,147.748
214.50,-2.4000,-2.2520,33.82,1097.887,151.389
215.00,-2.4000,-2.1506,31.60,1102.686,154.847
215.50,-2.3000,-2.0224,29.16,1107.127,158.790
216.00,-1.8500,-1.8738,29.40,1110.365,164.315
216.50,-1.7000,-1.7143,32.66,1114.547,168.541
217.00,-1.4000,-1.5539,33.94,1118.173,173.458
217.50,-1.2500,-1.3969,33.41,1122.262,177.746
218.00,-1.1000,-1.2352,34.35,1126.309,182.066
218.50,-1.1000,-1.0389,34.00,1130.843,185.770
219.00,-1.0500,-0.7469,34.03,1135.167,189.728
219.50,-1.0500,-0.2627,33.59,1139.635,193.508
220.00,-0.9500,0.5375,34.77,1143.705,197.750
220.50,-0.9500,1.7737,34.47,1148.103,201.604
221.00,-1.0000,3.5085,35.32,1152.655,205.287
221.50,-1.0000,5.6893,33.25,1156.987,209.219
222.00,3.7500,8.1139,24.22,1142.852,233.116
222.50,18.8500,10.4468,24.98,1082.141,305.721
223.00,19.1000,12.2943,25.10,1084.470,310.258
223.50,19.3500,13.3169,27.31,1086.747,314.808
224.00,19.6000,13.3419,26.22,1088.973,319.370
224.50,19.8500,12.4387,25.67,1091.146,323.943
225.00,20.1500,10.9290,26.05,1093.027,328.762
225.50,-0.8500,9.3185,64.65,1189.790,242.572
226.00,-1.0000,8.1612,115.11,1194.408,246.247
226.50,-0.8500,7.8943,466.89,1197.772,251.110
227.00,-0.4000,8.7053,759.51,1199.845,257.134
227.50,-0.8500,10.4840,41.43,1205.604,259.786
228.00,21.6500,12.8837,24.12,1104.650,356.454
228.50,21.9000,15.4589,25.28,1106.405,361.097
229.00,22.1000,17.8166,24.04,1108.368,365.525
229.50,22.3500,19.7186,24.43,1110.021,370.181
230.00,22.5000,21.0975,25.67,1112.153,374.408
230.50,22.7500,22.0069,24.35,1113.707,379.078
231.00,22.9500,22.5421,24.79,1115.478,383.539
231.50,23.2500,22.7707,24.31,1116.658,388.429
232.00,23.5000,22.6976,23.30,1118.055,393.109
232.50,23.7000,22.2674,21.77,1119.678,397.584
233.00,23.9500,21.4045,21.79,1120.974,402.270
233.50,24.2000,20.0724,21.34,1122.218,406.957
234.00,24.3500,18.3300,20.39,1123.977,411.242
234.50,24.5000,16.3491,17.52,1125.694,415.536
235.00,-2.3500,14.3761,10.90,1266.220,324.209
235.50,9.6500,12.6481,9.61,1211.585,368.469
236.00,9.7500,11.3089,9.37,1214.000,373.258
236.50,9.7000,10.3683,9.34,1217.145,377.558
237.00,9.7000,9.7205,9.31,1219.995,382.054
237.50,9.8000,9.2039,9.06,1222.283,386.903
238.00,9.9000,8.6679,9.04,1224.526,391.767
238.50,10.0500,8.0195,9.33,1226.460,396.807
239.00,10.0500,7.2431,9.03,1229.143,401.384
239.50,4.2000,6.3913,12.35,1262.226,388.233
240.00,4.1000,5.5588,11.41,1265.486,392.823
240.50,6.4500,4.8457,8.60,1256.063,404.546
241.00,-2.3500,4.3220,11.02,1302.949,384.935
241.50,4.4000,4.0105,11.84,1271.944,408.459
242.00,4.3000,3.8873,12.88,1275.039,413.150
242.50,4.1500,3.9049,11.66,1278.355,417.738
243.00,4.2000,4.0161,11.15,1280.589,422.892
243.50,4.0500,4.1907,12.79,1283.826,427.541
244.00,4.0000,4.4103,13.61,1286.499,432.481
244.50,4.0000,4.6432,15.12,1288.866,437.573
245.00,4.0000,4.8226,14.40,1291.189,442.685
245.50,3.9500,4.8460,9.15,1293.734,447.696
246.00,3.2500,4.6132,6.86,1299.695,451.189
246.50,24.6000,4.0908,11.87,1176.610,510.368
247.00,-2.4500,3.3631,7.93,1333.697,448.950
247.50,-2.3500,2.6289,8.05,1335.407,454.657
248.00,-2.5000,2.1308,8.63,1338.340,459.853
248.50,-2.3500,2.0528,11.12,1339.697,465.693
249.00,-2.3500,2.4428,12.03,1341.770,471.240
249.50,-2.3500,3.2017,12.20,1343.795,476.804
250.00,19.3000,4.1364,19.63,1221.835,527.537
250.50,3.2000,5.0361,16.84,1318.167,498.591
251.00,3.1500,5.7270,15.06,1320.234,503.861
251.50,6.8000,6.0901,19.65,1301.579,516.129
252.00,6.7500,6.0605,17.95,1303.508,521.260
252.50,16.8000,5.6302,21.16,1244.997,545.447
253.00,6.2500,4.8596,17.30,1309.519,530.875
253.50,0.2500,3.8770,13.99,1344.382,526.126
254.00,0.1000,2.8486,12.62,1346.745,531.477
254.50,0.1000,1.9310,11.80,1348.250,537.087
255.00,0.1000,1.2263,11.64,1349.706,542.710
255.50,0.1000,0.7664,11.77,1351.114,548.346
256.00,-0.4500,0.5262,11.29,1355.465,553.223
256.50,-0.0500,0.4490,12.30,1354.601,559.450
257.00,1.7500,0.4688,10.67,1345.933,567.501
257.50,-0.3000,0.5178,21.62,1358.445,570.501
258.00,-0.1000,0.5313,17.00,1358.515,576.456
258.50,-1.3000,0.4544,12.93,1366.188,580.769
259.00,9.2500,0.2552,18.95,1306.860,598.709
259.50,-2.1000,-0.0613,12.04,1372.636,591.480
260.00,-2.1500,-0.4532,12.10,1373.890,597.261
260.50,-2.2000,-0.8574,12.59,1375.093,603.056
261.00,-1.1000,-1.2150,11.68,1369.971,609.932
261.50,-2.0500,-1.4914,13.50,1375.991,614.904
262.00,-2.1000,-1.6814,13.63,1377.043,620.725
262.50,-2.0500,-1.8004,12.93,1377.499,626.635
263.00,-1.4000,-1.8714,13.23,1374.615,632.993
263.50,-2.0500,-1.9147,15.14,1378.804,638.392
264.00,-2.0500,-1.9432,13.31,1379.380,644.279
264.50,-2.0500,-1.9633,14.59,1379.905,650.171
265.00,-2.0000,-1.9782,17.00,1380.104,656.095
265.50,-2.0500,-1.9895,16.55,1380.801,661.968
266.00,-1.8000,-1.9987,16.96,1379.797,667.988
266.50,-2.0500,-2.0071,16.90,1381.492,673.781
267.00,-2.0500,-2.0149,18.15,1381.761,679.692
267.50,-2.0500,-2.0212,18.35,1381.978,685.605
268.00,-2.0500,-2.0250,18.62,1382.144,691.520
268.50,-2.0500,-2.0256,18.63,1382.259,697.437
269.00,-2.0500,-2.0231,19.47,1382.322,703.354
269.50,-2.0000,-2.0184,19.44,1382.058,709.280
270.00,-2.0000,-2.0124,19.96,1382.019,715.196
270.50,-2.0000,-2.0061,19.04,1381.928,721.112
271.00,-2.0000,-1.9999,19.63,1381.786,727.028
271.50,-2.0000,-1.9939,20.13,1381.592,732.942
272.00,-2.0000,-1.9877,19.68,1381.347,738.855
272.50,-1.9500,-1.9807,20.19,1380.775,744.758
273.00,-2.0000,-1.9725,19.53,1380.702,750.674
273.50,-2.0000,-1.9628,20.55,1380.303,756.579
274.00,-1.9500,-1.9518,21.45,1379.578,762.467
274.50,-1.9500,-1.9400,20.50,1379.076,768.363
275.00,-1.9000,-1.9281,21.98,1378.248,774.235
275.50,-1.9000,-1.9170,21.83,1377.644,780.120
276.00,-1.9000,-1.9072,22.41,1376.989,785.999
276.50,-1.9000,-1.8989,22.43,1376.283,791.873
277.00,-1.9000,-1.8916,22.68,1375.526,797.741
277.50,-1.8500,-1.8852,22.70,1374.444,803.572
278.00,-1.9000,-1.8791,22.20,1373.858,809.458
278.50,-1.9000,-1.8732,23.13,1372.948,815.305
279.00,-1.8500,-1.8675,24.07,1371.714,821.107
279.50,-1.8500,-1.8619,23.84,1370.702,826.936
280.00,-1.8500,-1.8567,24.60,1369.640,832.756
280.50,-1.8500,-1.8516,24.29,1368.527,838.567
281.00,-1.8500,-1.8463,24.90,1367.364,844.369
281.50,-1.8500,-1.8402,25.93,1366.150,850.161
282.00,-1.8500,-1.8329,26.20,1364.885,855.942
282.50,-1.8500,-1.8242,27.91,1363.571,861.713
283.00,-1.8000,-1.8143,27.95,1361.936,867.416
283.50,-1.8000,-1.8038,26.71,1360.522,873.161
284.00,-1.8000,-1.7920,28.19,1359.057,878.894
284.50,-1.7500,-1.7788,27.94,1357.275,884.551
285.00,-1.8000,-1.7606,27.97,1355.978,890.322
285.50,-1.7500,-1.7292,27.27,1354.097,895.948
286.00,-1.7500,-1.6681,26.95,1352.434,901.626
286.50,-1.7500,-1.5497,27.34,1350.722,907.289
287.00,-1.7500,-1.3371,30.31,1348.960,912.938
287.50,-1.7000,-0.9961,26.42,1346.885,918.495
288.00,-1.7000,-0.5175,25.20,1345.025,924.110
288.50,-1.7000,0.0576,25.96,1343.117,929.710
289.00,-1.6500,0.6282,25.69,1340.897,935.209
289.50,-1.6500,1.0564,25.34,1338.892,940.774
290.00,20.0000,1.2207,26.81,1212.287,902.773
290.50,-1.6500,1.0729,25.06,1334.736,951.849
291.00,-1.6500,0.6622,25.05,1332.586,957.360
291.50,-1.6500,0.1106,25.82,1330.388,962.853
292.00,-1.6500,-0.4438,25.39,1328.142,968.326
292.50,-1.6000,-0.9008,26.84,1325.591,973.681
293.00,-1.6000,-1.2198,26.34,1323.250,979.113
293.50,-1.6000,-1.4107,26.63,1320.862,984.525
294.00,-1.6000,-1.5081,27.18,1318.427,989.916
294.50,-1.6000,-1.5490,27.05,1315.945,995.286
295.00,-1.5500,-1.5607,27.93,1313.163,1000.524
295.50,-1.5500,-1.5598,28.63,1310.588,1005.848
296.00,-1.5500,-1.5541,29.24,1307.967,1011.151
296.50,-1.5500,-1.5473,29.79,1305.299,1016.430
297.00,-1.5500,-1.5395,30.43,1302.586,1021.687
297.50,-1.5500,-1.5315,31.83,1299.826,1026.920
298.00,-1.5000,-1.5228,37.16,1296.775,1032.005
298.50,-1.5000,-1.5136,43.99,1293.925,1037.188
299.00,-1.5500,-1.5038,12.28,1291.274,1042.474
299.50,-1.5500,-1.4941,12.70,1288.332,1047.609
300.00,-1.3500,-1.4849,10.81,1284.379,1052.190
300.50,-1.5000,-1.4767,35.84,1282.075,1057.669
301.00,-1.5000,-1.4699,37.66,1279.001,1062.724
301.50,-1.4500,-1.4643,37.84,1275.645,1067.614
302.00,-1.4500,-1.4598,39.44,1272.484,1072.614
302.50,-1.4500,-1.4564,39.19,1269.279,1077.586
303.00,-1.4500,-1.4538,40.59,1266.031,1082.531
303.50,-1.4500,-1.4519,41.25,1262.739,1087.447
304.00,-1.4500,-1.4503,42.33,1259.405,1092.335
