HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
192947,3.58,0.69,0.95,0.69,0.47,0.49,0.43,6.07,4.01,3.28,3.07,2.97,Al Giedi,Alpha Capricorni,163427,761,3.57,G8IIIb,0.064,0.004,304.5135664,-12.5448522
77327,3.60,0.01,0.00,0.07,0.01,0.02,0.03,4.65,3.51,3.71,3.90,4.05,Talitha Australis,Kappa Ursae Majoris,42661,341,3.6,A1Vn,-0.033,-0.054,135.9063650,47.1565247
102870,3.60,0.11,0.55,0.48,0.28,0.31,0.29,5.09,3.81,3.47,3.40,3.39,Zavijava,Beta Virginis,119076,445,3.61,F9V,0.743,-0.271,177.6738261,1.7647197
102870,3.60,0.11,0.55,0.48,0.28,0.31,0.29,5.09,3.81,3.47,3.40,3.39,Alaraph,Beta Virginis,119076,445,3.61,F9V,0.743,-0.271,177.6738261,1.7647197
23850,3.62,-0.36,-0.09,nan,nan,nan,nan,4.12,3.48,3.78,nan,nan,Atlas,27 Tauri,76228,142,3.63,B8III,0.018,-0.047,57.2905942,24.0534167
196524,3.63,0.08,0.44,0.40,0.24,0.27,0.25,5.02,3.78,3.54,3.51,3.53,Sualocin,Beta Delphini,106316,,3.63,F5IV,0.113,-0.033,309.3872556,14.5950889
196524,3.63,0.08,0.44,0.40,0.24,0.27,0.25,5.02,3.78,3.54,3.51,3.53,Rotanev,Beta Delphini,106316,,3.63,F5IV,0.113,-0.033,309.3872556,14.5950889
123299,3.65,-0.08,-0.05,-0.03,-0.07,-0.03,-0.05,4.55,3.53,3.80,4.07,4.27,Thuban,Alpha Draconis,16273,521,3.65,A0III,-0.055,0.018,211.0972914,64.3758506
110379,2.74,-0.03,0.36,0.29,0.19,0.19,0.20,3.93,2.84,2.70,2.72,2.76,Porrima,Gamma Virginis,138917,,3.65,F0V,-0.565,0.012,190.4165958,-1.4495139
137909,,,,,,,,,,,,,Nusakan,Beta Coronae Borealis,83831,572,3.68,F0p,-0.179,0.086,231.9570000,29.1058333
206088,,,,,,,,,,,,,Nashira,Gamma Capricorni,164560,812,3.68,F0p,0.19,-0.023,325.0230000,-16.6622167
23302,3.70,-0.40,-0.12,nan,nan,nan,nan,4.13,3.54,3.87,nan,nan,Electra,17 Tauri,76131,136,3.7,B6III,0.019,-0.046,56.2189036,24.1133364
188512,3.72,0.49,0.86,0.66,0.49,0.47,0.47,5.89,4.10,3.45,3.21,3.08,Alshain,Beta Aquilae,125235,749,3.71,G8IV,0.048,-0.482,298.8283022,6.4067617
11353,3.72,1.06,1.14,0.80,0.55,0.55,0.49,6.82,4.25,3.35,3.08,2.94,Baten Kaitos,Zeta Ceti,148059,62,3.73,K0IIIBa0.1,0.041,-0.039,27.8651450,-10.3350358
163588,3.75,1.21,1.18,0.83,0.59,0.59,0.53,7.07,4.30,3.36,3.05,2.89,Grumium,Xi Draconis,30631,671,3.75,K2-III,0.094,0.08,268.3822067,56.8726428
198001,3.77,0.02,0.00,0.07,0.00,0.03,0.02,4.83,3.68,3.88,4.08,4.24,Albali,Epsilon Aquarii,144810,781,3.77,A1V,0.035,-0.034,311.9189692,-9.4957744
52973,,,,,,,,,,,,,Mekbuda,Zeta Geminorum,79031,269,3.79,F7-G3Ib,-0.009,0.0,106.0270000,20.5702833
148857,3.83,0.02,0.01,-0.01,-0.01,-0.02,0.01,4.90,3.74,3.96,4.17,4.33,Marfik,Lambda Ophiuchi,121658,,3.82,A0V+A4V,-0.027,-0.073,247.7284297,1.9839225
188119,3.82,0.52,0.89,0.64,0.48,0.45,0.44,6.05,4.21,3.55,3.34,3.23,Tyl,Epsilon Draconis,9540,,3.83,G7IIIbCN-2,0.082,0.037,297.0431283,70.2679303
212061,3.84,-0.13,-0.06,0.04,-0.04,0.01,-0.02,4.67,3.71,3.97,4.22,4.40,Sadachbia,Gamma Aquarii,146044,842,3.84,A0V,0.132,0.007,335.4140642,-1.3873342
100029,3.85,1.97,1.62,1.31,0.99,0.88,0.91,8.45,4.65,3.23,2.55,2.14,Giauzar,Lambda Draconis,15532,433,3.84,M0IIICa-1,-0.039,-0.017,172.8509197,69.3310750
23408,3.87,-0.40,-0.07,nan,nan,nan,nan,4.32,3.74,4.02,nan,nan,Maia,20 Tauri,76155,,3.87,B8III,0.02,-0.046,56.4566939,24.3677461
85503,3.88,1.40,1.22,0.91,0.58,0.63,0.52,7.48,4.46,3.46,3.17,3.01,Rasalas,Mu Leonis,81064,371,3.88,K2IIICN1Ca1,-0.216,-0.056,148.1909022,26.0069533
18322,3.87,0.98,1.12,0.79,0.58,0.55,0.52,6.85,4.39,3.51,3.22,3.06,Azha,Eta Eridani,130197,104,3.89,K1-IIIbBa0.2:,0.079,-0.22,44.1068728,-8.8981450
138905,3.91,0.74,1.02,0.71,0.55,0.50,0.50,6.51,4.38,3.59,3.31,3.17,Zubenelhakrabi,Gamma Librae,159370,577,3.91,G8.5III,0.065,0.009,233.8815783,-14.7895356
202447,,,,,,,,,,,,,Kitalpha,Alpha Equulei,126662,800,3.92,G0III+A5V,0.059,-0.088,318.9557500,5.2477833
74442,3.94,0.99,1.08,0.78,0.54,0.54,0.49,6.91,4.44,3.59,3.33,3.19,Asellus Australis,Delta Cancri,98087,326,3.94,K0III-IIIb,-0.018,-0.228,131.1712467,18.1543064
