Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,RA,Dec,pm_RA,pm_Dec
Tsih,Gamma Cassiopeiae,11482,5394,32,2.47,B0IVe,14.176999999999998,60.71666666666667,0.026,-0.005
Tyl,Epsilon Draconis,9540,188119,,3.83,G7IIIbCN-2,297.04325,70.26778333333333,0.082,0.037
Unukalhai,Alpha Serpentis,121157,140573,582,2.65,K2IIIbCN1,236.06699999999998,6.42555,0.137,0.047
Vega,Alpha Lyrae,67174,172167,699,0.03,A0Va,279.23449999999997,38.78361666666667,0.202,0.286
Vindemiatrix,Epsilon Virginis,100384,113226,488,2.83,G8IIIab,195.54424999999998,10.959166666666667,-0.273,0.02
Wasat,Delta Geminorum,79294,56986,279,3.53,F2IV,110.03075,21.982216666666666,-0.026,-0.012
Wazn,Beta Columbae,196240,39425,223,3.12,K2III,87.73999999999998,-35.76833333333333,0.059,0.401
Wezen,Delta Canis Majoris,173047,54605,273,1.84,F8Ia,107.09799999999998,-26.393333333333334,-0.003,0.004
Yed Posterior,Epsilon Ophiuchi,141086,146791,605,3.24,G9.5IIIbFe-0.5,244.5805,-4.6925,0.085,0.041
Yed Prior,Delta Ophiuchi,141052,146051,603,2.74,M0.5III,243.58624999999998,-3.69445,-0.044,-0.143
Yildun,Delta Ursae Minoris,2937,166205,913,4.36,A1Vn,263.05375,86.58638333333333,0.009,0.056
Zaniah,Epsilon Virginis,100384,113226,488,2.83,G8IIIab,195.54424999999998,10.959166666666667,-0.273,0.02
Zaurac,Gamma Eridani,149283,25025,149,2.95,M0.5IIICa-1Cr-1,59.50749999999999,-13.508616666666667,0.061,-0.111
Zavijava,Beta Virginis,119076,102870,445,3.61,F9V,177.67374999999998,1.7647166666666667,0.743,-0.271
Zosma,Delta Leonis,81727,97603,422,2.56,A4V,168.527,20.523616666666666,0.142,-0.13
Zubenelgenubi,Alpha Librae,158840,130841,548,2.75,A3IV,222.71949999999998,-16.041666666666668,-0.106,-0.067
Zubenelhakrabi,Gamma Librae,159370,138905,577,3.91,G8.5III,233.88174999999998,-14.78945,0.065,0.009
Zubeneshamali,Beta Librae,140430,135742,564,2.61,B8V,229.25175,-9.38305,-0.096,-0.019
